# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Dec  5 08:14:35 2019
#
# User preference: *
#
# CONSTRAINT:  where (pl_tranflag = 1
# CONSTRAINT:  and st_vjstr < 16)
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN gaia_disterr1:  Gaia Distance Upper Unc. [pc]
# COLUMN gaia_disterr2:  Gaia Distance Lower Unc. [pc]
# COLUMN gaia_distlim:   Gaia Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_tranflag:    Planet Transit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_masselim:    Planet Mass Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_facility:    Discovery Facility
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_vjerr:       V-band (Johnson) Unc. [mag]
# COLUMN st_vjlim:       V-band (Johnson) Limit Flag
# COLUMN st_j:           J-band (2MASS) [mag]
# COLUMN st_jerr:        J-band (2MASS) Unc. [mag]
# COLUMN st_jlim:        J-band (2MASS) Limit Flag
# COLUMN st_h:           H-band (2MASS) [mag]
# COLUMN st_herr:        H-band (2MASS) Unc. [mag]
# COLUMN st_hlim:        H-band (2MASS) Limit Flag
# COLUMN st_k:           Ks-band (2MASS) [mag]
# COLUMN st_kerr:        Ks-band (2MASS) Unc. [mag]
# COLUMN st_klim:        Ks-band (2MASS) Limit Flag
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_tranflag,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_facility,st_vj,st_vjerr,st_vjlim,st_j,st_jerr,st_jlim,st_h,st_herr,st_hlim,st_k,st_kerr,st_klim
Kepler-20,b,Kepler-20 b,Transit,0,6,3.69611525,0.00000115,-0.00000087,0,0.046300,0.000900,-0.001500,0,0.030000,0.090000,-0.030000,0,87.355,0.215,-1.594,0,8.20000,1.50000,-1.30000,0,0,1,0,2,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,284.88,1.78,-1.78,0,284.88,1.78,-1.78,0,12.510,,0,V (Johnson),12.453,,0,5495.00,50.00,-50.00,0,0.95,0.05,-0.05,0,0.96,0.02,-0.02,0,2017-03-30,1,1105,37,-37,0,,,,,9.70000,1.41000,-1.44000,0,1.868,0.066,-0.034,0,Kepler,12.510,,0,11.252,0.021,0,10.910,0.019,0,10.871,0.013,0
Kepler-20,c,Kepler-20 c,Transit,0,6,10.85409089,0.00000303,-0.00000260,0,0.094900,0.002700,-0.002300,0,0.160000,0.010000,-0.090000,0,89.815,0.036,-0.632,0,2.50000,0.50000,-0.50000,0,0,1,0,2,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,284.88,1.78,-1.78,0,284.88,1.78,-1.78,0,12.510,,0,V (Johnson),12.453,,0,5495.00,50.00,-50.00,0,0.95,0.05,-0.05,0,0.96,0.02,-0.02,0,2017-03-30,1,772,26,-26,0,,,,,12.75000,2.17000,-2.24000,0,3.047,0.064,-0.056,0,Kepler,12.510,,0,11.252,0.021,0,10.910,0.019,0,10.871,0.013,0
Kepler-20,d,Kepler-20 d,Transit,0,6,77.61130017,0.00012305,-0.00011588,0,0.350600,0.008100,-0.010100,0,,,,,89.708,0.165,-0.053,0,2.70000,1.10000,-1.00000,0,0,1,0,2,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,284.88,1.78,-1.78,0,284.88,1.78,-1.78,0,12.510,,0,V (Johnson),12.453,,0,5495.00,50.00,-50.00,0,0.95,0.05,-0.05,0,0.96,0.02,-0.02,0,2017-03-30,1,401,13,-13,0,,,,,10.07000,3.97000,-3.70000,0,2.744,0.073,-0.055,0,Kepler,12.510,,0,11.252,0.021,0,10.910,0.019,0,10.871,0.013,0
Kepler-20,e,Kepler-20 e,Transit,0,6,6.09852281,0.00000608,-0.00001351,0,0.063900,0.001900,-0.001400,0,,,,,87.632,1.085,-0.128,0,,,,,0,1,0,1,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,284.88,1.78,-1.78,0,284.88,1.78,-1.78,0,12.510,,0,V (Johnson),12.453,,0,5495.00,50.00,-50.00,0,0.95,0.05,-0.05,0,0.96,0.02,-0.02,0,2017-03-30,1,,,,,,,,,,,,,0.865,0.026,-0.028,0,Kepler,12.510,,0,11.252,0.021,0,10.910,0.019,0,10.871,0.013,0
Kepler-20,f,Kepler-20 f,Transit,0,6,19.57758478,0.00009037,-0.00012256,0,0.139600,0.003600,-0.003500,0,,,,,88.788,0.426,-0.072,0,,,,,0,1,0,1,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,284.88,1.78,-1.78,0,284.88,1.78,-1.78,0,12.510,,0,V (Johnson),12.453,,0,5495.00,50.00,-50.00,0,0.95,0.05,-0.05,0,0.96,0.02,-0.02,0,2017-03-30,1,,,,,,,,,,,,,1.003,0.050,-0.089,0,Kepler,12.510,,0,11.252,0.021,0,10.910,0.019,0,10.871,0.013,0
K2-37,b,K2-37 b,Transit,0,3,4.44117000,0.00075000,-0.00075000,0,0.051100,0.000900,-0.000900,0,,,,,87.280,1.950,-3.370,0,,,,,0,0,1,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,180.86,1.59,-1.59,0,180.86,1.59,-1.59,0,12.520,0.060,0,V (Johnson),12.257,,0,5413.00,60.00,-60.00,0,0.90,0.05,-0.05,0,0.85,0.04,-0.04,0,2016-07-07,1,974,32,-32,0,213.3000,27.8000,-27.8000,0,,,,,1.610,0.170,-0.170,0,K2,12.520,0.060,0,10.692,0.022,0,10.214,0.021,0,10.142,0.021,0
K2-37,c,K2-37 c,Transit,0,3,6.42904000,0.00036000,-0.00036000,0,0.065400,0.001100,-0.001100,0,,,,,87.370,1.830,-2.500,0,,,,,0,0,1,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,180.86,1.59,-1.59,0,180.86,1.59,-1.59,0,12.520,0.060,0,V (Johnson),12.257,,0,5413.00,60.00,-60.00,0,0.90,0.05,-0.05,0,0.85,0.04,-0.04,0,2016-07-07,1,861,28,-28,0,130.3000,16.9000,-16.9000,0,,,,,2.750,0.270,-0.270,0,K2,12.520,0.060,0,10.692,0.022,0,10.214,0.021,0,10.142,0.021,0
K2-37,d,K2-37 d,Transit,0,3,14.09189000,0.00135000,-0.00135000,0,0.110300,0.001800,-0.001800,0,,,,,88.340,1.180,-1.650,0,,,,,0,0,1,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,180.86,1.59,-1.59,0,180.86,1.59,-1.59,0,12.520,0.060,0,V (Johnson),12.257,,0,5413.00,60.00,-60.00,0,0.90,0.05,-0.05,0,0.85,0.04,-0.04,0,2016-07-07,1,663,22,-22,0,45.7000,6.0000,-6.0000,0,,,,,2.730,0.360,-0.360,0,K2,12.520,0.060,0,10.692,0.022,0,10.214,0.021,0,10.142,0.021,0
K2-29,b,K2-29 b,Transit,0,1,3.25883210,0.00000190,-0.00000190,0,0.042170,0.000240,-0.000240,0,0.066000,0.022000,-0.022000,0,86.656,0.110,-0.080,0,0.53000,0.04000,-0.04000,0,0,0,1,0,04h10m40.96s,62.670647,+24d24m07.4s,24.402042,179.39,1.31,-1.31,0,179.39,1.31,-1.31,0,12.526,0.044,0,V (Johnson),12.201,,0,5358.00,38.00,-38.00,0,0.94,0.02,-0.02,0,0.86,0.01,-0.01,0,2016-03-24,1,1171,10,-10,0,,,,,232.01590,12.71320,-12.71320,0,13.339,0.224,-0.224,0,K2,12.526,0.044,0,10.622,0.035,0,10.168,0.041,0,10.062,0.034,0
K2-259,b,K2-259 b,Transit,0,1,15.48043000,0.00332000,-0.00392000,0,0.127100,0.001000,-0.001100,0,,,,0,,,,0,,,,0,0,0,1,0,12h27m12.65s,186.802689,+01d34m00.7s,1.566849,422.10,7.70,-7.80,0,421.37,8.17,-8.17,0,12.536,0.040,0,V (Johnson),12.375,,0,6059.00,62.00,-76.00,0,1.14,0.03,-0.03,0,1.13,0.03,-0.02,0,2018-07-12,1,795,13,-13,0,,,,0,,,,0,2.320,0.200,-0.170,0,K2,12.536,0.040,0,11.425,0.024,0,11.180,0.025,0,11.115,0.026,0
K2-280,b,K2-280 b,Transit,0,1,19.89520200,0.00077400,-0.00075300,0,0.148800,0.001900,-0.002000,0,,,,0,,,,0,,,,0,0,0,1,0,19h26m22.88s,291.595337,-22d14m51.6s,-22.247662,396.90,7.31,-7.31,0,395.78,7.46,-7.46,0,12.536,0.040,0,V (Johnson),12.360,,0,5742.00,90.00,-90.00,0,1.11,0.04,-0.04,0,1.28,0.03,-0.03,0,2018-10-26,1,744,15,-15,0,,,,0,,,,0,7.670,0.260,-0.260,0,K2,12.536,0.040,0,11.141,0.021,0,10.854,0.024,0,10.765,0.019,0
HAT-P-38,b,HAT-P-38 b,Transit,0,1,4.64038200,0.00003200,-0.00003200,0,0.052300,0.000900,-0.000900,0,0.067000,0.047000,-0.047000,0,88.300,0.700,-0.700,0,0.59000,0.16000,-0.16000,0,0,0,0,0,02h21m31.98s,35.383234,+32d14m46.1s,32.246151,249.00,26.00,-19.00,0,257.08,2.47,-2.47,0,12.557,0.094,0,V (Johnson),12.302,,0,5330.00,100.00,,0,0.89,0.04,,0,0.92,0.10,,0,2014-05-14,1,1082,55,-55,0,,,,,84.85700,6.35600,-6.35600,0,9.247,1.031,-0.706,0,HATNet,12.557,0.094,0,10.989,0.018,0,10.593,0.019,0,10.501,0.014,0
HATS-35,b,HATS-35 b,Transit,0,1,1.82099930,0.00000160,-0.00000160,0,0.031990,0.000330,-0.000330,0,0.306000,,,1,86.900,1.300,-1.300,0,0.48400,0.04200,-0.07000,0,0,0,0,0,19h46m45.18s,296.688263,-63d33m56.2s,-63.565609,557.00,22.00,-17.00,0,522.04,10.22,-10.22,0,12.560,0.100,0,V (Johnson),12.460,,0,6300.00,100.00,-100.00,0,1.32,0.04,-0.04,0,1.43,0.06,-0.04,0,2016-12-01,1,2037,43,-43,0,,,,,388.38826,24.79074,-24.79074,0,16.410,0.773,-0.493,0,HATSouth,12.560,0.100,0,11.439,0.022,0,11.192,0.022,0,11.118,0.023,0
CoRoT-2,b,CoRoT-2 b,Transit,0,1,1.74299350,0.00000100,-0.00000100,0,0.027980,0.000760,-0.000800,0,0.014300,0.007700,-0.007600,0,88.080,0.180,-0.160,0,1.47000,0.08000,-0.07400,0,1,0,0,2,19h27m06.49s,291.777056,+01d23m01.4s,1.383714,200.00,,,0,214.56,2.47,-2.47,0,12.570,,0,V (Johnson),12.249,,0,5625.00,120.00,-120.00,0,0.96,0.08,-0.08,0,0.91,0.03,-0.03,0,2014-05-14,1,,,,,,,,,1102.82000,69.92000,-69.92000,0,16.432,0.471,-0.493,0,CoRoT,12.570,,0,10.783,0.028,0,10.438,0.037,0,10.310,0.031,0
WASP-42,b,WASP-42 b,Transit,0,1,4.98168190,0.00000110,-0.00000110,0,0.056100,0.001200,-0.001200,0,,,,,88.000,0.170,-0.170,0,0.46400,0.04000,-0.04000,0,0,0,0,0,12h51m55.57s,192.981545,-42d04m25.0s,-42.073608,178.19,1.31,-1.31,0,178.19,1.31,-1.31,0,12.570,,0,V (Johnson),11.969,,0,5315.00,79.00,-79.00,0,0.95,0.06,-0.06,0,0.89,0.03,-0.03,0,2016-02-25,1,1021,19,-19,0,,,,,167.49641,8.89924,-8.89924,0,12.576,0.437,-0.437,0,SuperWASP,12.570,,0,10.542,0.025,0,10.103,0.022,0,10.033,0.022,0
HATS-70,b,HATS-70 b,Transit,0,1,1.88823780,0.00000150,-0.00000150,0,0.036320,0.000740,-0.000870,0,0.180000,,,1,86.700,1.600,-1.900,0,6.64000,1.60000,-1.30000,0,0,0,0,0,07h16m25.08s,109.104500,-31d14m39.86s,-31.244406,1307.00,60.00,-62.00,0,1519.95,70.65,-70.65,0,12.574,0.028,0,V (Johnson),12.586,,0,7930.00,630.00,-820.00,0,1.78,0.12,-0.12,0,1.88,0.06,-0.07,0,2019-02-14,1,2730,140,-160,0,9110.0000,170.0000,-170.0000,0,4100.00700,572.09400,-508.52800,0,15.513,0.886,-0.829,0,HATSouth,12.574,0.028,0,12.139,0.019,0,12.106,0.023,0,12.040,0.024,0
WASP-177,b,WASP-177 b,Transit,0,1,3.07172200,0.00000100,-0.00000100,0,0.039570,0.000580,-0.000580,0,,,,0,84.140,0.660,-0.830,0,0.17200,0.20300,-0.11000,0,0,0,0,0,22h19m11.19s,334.796625,-01d50m04.7s,-1.834639,178.00,2.00,-2.00,0,177.67,2.40,-2.40,0,12.580,,0,V (Johnson),12.072,,0,5017.00,70.00,-70.00,0,0.88,0.04,-0.04,0,0.89,0.05,-0.05,0,2019-04-18,1,1142,32,-32,0,,,,0,161.45764,12.07754,-12.07754,0,17.710,7.398,-4.035,0,SuperWASP,12.580,,0,10.654,0.021,0,10.244,0.020,0,10.163,0.021,0
K2-74,b,K2-74 b,Transit,0,1,19.56660000,0.00330000,-0.00330000,0,0.140200,0.001500,-0.001500,0,,,,,,,,,,,,,0,0,1,0,22h39m40.64s,339.919342,-08d42m52.2s,-8.714505,381.85,6.78,-6.78,0,381.85,6.78,-6.78,0,12.588,0.031,0,V (Johnson),12.436,,0,6060.00,86.00,-86.00,0,0.96,0.03,-0.03,0,0.98,0.06,-0.06,0,2016-07-18,1,,,,,59.1000,8.1000,-8.1000,0,,,,,2.310,0.190,-0.190,0,K2,12.588,0.031,0,11.427,0.027,0,11.177,0.026,0,11.068,0.019,0
WASP-19,b,WASP-19 b,Transit,0,1,0.78883899,0.00000004,-0.00000004,0,0.016340,0.000240,-0.000240,0,0.002000,0.014000,-0.002000,0,78.780,0.580,-0.580,0,0.49200,0.04600,-0.04600,0,0,0,0,0,09h53m40.08s,148.417002,-45d39m33.1s,-45.659191,270.41,1.72,-1.72,0,270.41,1.72,-1.72,0,12.590,,0,V (Johnson),12.109,,0,5568.00,71.00,-71.00,0,0.90,0.04,-0.04,0,1.00,0.02,-0.02,0,2016-08-18,1,2520,,,0,,,,,339.76027,12.07754,-11.75971,0,15.603,0.448,-0.448,0,SuperWASP,12.590,,0,10.911,0.026,0,10.602,0.021,0,10.481,0.023,0
K2-180,b,K2-180 b,Transit,0,1,8.86720900,0.00106800,-0.00101600,0,0.075300,0.001000,-0.001000,0,,,,0,,,,0,,,,0,0,0,1,0,08h25m51.34s,126.463936,+10d14m49.1s,10.246968,204.51,1.70,-1.70,0,205.09,1.73,-1.73,0,12.601,0.020,0,V (Johnson),12.404,,0,5358.00,65.00,-65.00,0,0.72,0.03,-0.03,0,0.72,0.01,-0.01,0,2018-10-26,1,731,11,-11,0,,,,0,,,,0,2.310,0.160,-0.160,0,K2,12.601,0.020,0,11.146,0.023,0,10.747,0.026,0,10.677,0.026,0
K2-97,b,K2-97 b,Transit,0,1,8.40672600,0.00186300,-0.00182700,0,0.086000,0.001100,-0.001100,0,,,,0,,,,0,,,,0,0,0,1,0,08h31m03.08s,127.762833,+10d50m51.3s,10.847586,869.76,31.37,-31.37,0,901.49,51.37,-51.37,0,12.611,0.031,0,V (Johnson),12.306,,0,4717.00,73.00,-73.00,0,1.20,0.05,-0.05,0,4.47,0.18,-0.18,0,2018-10-26,1,1499,39,-39,0,,,,0,,,,0,10.610,0.950,-0.950,0,K2,12.611,0.031,0,10.694,0.023,0,10.177,0.023,0,10.035,0.021,0
HATS-29,b,HATS-29 b,Transit,0,1,4.60587490,0.00000630,-0.00000630,0,0.054750,0.000880,-0.000880,0,0.158000,,,1,87.370,0.340,-0.340,0,0.41100,0.06000,-0.06000,0,0,0,0,0,19h00m23.14s,285.096424,-54d53m35.5s,-54.893192,351.00,15.00,-15.00,0,357.44,4.98,-4.98,0,12.612,0.010,0,V (Johnson),12.459,,0,5670.00,110.00,-110.00,0,1.03,0.05,-0.05,0,1.07,0.04,-0.04,0,2016-06-09,1,1212,30,-30,0,,,,,207.54299,20.02329,-20.02329,0,14.022,0.684,-0.684,0,HATSouth,12.612,0.010,0,11.286,0.023,0,10.933,0.020,0,10.877,0.017,0
TOI 270,b,TOI 270 b,Transit,0,3,3.36008000,0.00006500,-0.00007000,0,0.030600,0.003300,-0.005700,0,0.000000,,,0,88.650,0.850,-1.400,0,,,,0,0,0,0,1,04h33m39.72s,68.415500,-51d57m22.44s,-51.956233,22.45,0.02,-0.02,0,22.49,0.01,-0.01,0,12.620,0.030,0,V (Johnson),11.631,,0,3386.00,137.00,-131.00,0,0.40,0.02,-0.02,0,0.38,0.02,-0.02,0,2019-08-01,1,528,56,-32,0,,,,0,,,,0,1.247,0.089,-0.083,0,Transiting Exoplanet Survey Satellite (TESS),12.620,0.030,0,9.099,0.027,0,8.531,0.071,0,8.251,0.025,0
TOI 270,c,TOI 270 c,Transit,0,3,5.66017200,0.00003500,-0.00003500,0,0.047200,0.003000,-0.003300,0,0.000000,,,0,89.530,0.300,-0.420,0,,,,0,0,0,0,1,04h33m39.72s,68.415500,-51d57m22.44s,-51.956233,22.45,0.02,-0.02,0,22.49,0.01,-0.01,0,12.620,0.030,0,V (Johnson),11.631,,0,3386.00,137.00,-131.00,0,0.40,0.02,-0.02,0,0.38,0.02,-0.02,0,2019-08-01,1,424,20,-19,0,,,,0,,,,0,2.420,0.130,-0.130,0,Transiting Exoplanet Survey Satellite (TESS),12.620,0.030,0,9.099,0.027,0,8.531,0.071,0,8.251,0.025,0
TOI 270,d,TOI 270 d,Transit,0,3,11.38014000,0.00011000,-0.00010000,0,0.073300,0.004200,-0.004200,0,0.000000,,,0,89.690,0.160,-0.120,0,,,,0,0,0,0,1,04h33m39.72s,68.415500,-51d57m22.44s,-51.956233,22.45,0.02,-0.02,0,22.49,0.01,-0.01,0,12.620,0.030,0,V (Johnson),11.631,,0,3386.00,137.00,-131.00,0,0.40,0.02,-0.02,0,0.38,0.02,-0.02,0,2019-08-01,1,340,14,-14,0,,,,0,,,,0,2.130,0.120,-0.120,0,Transiting Exoplanet Survey Satellite (TESS),12.620,0.030,0,9.099,0.027,0,8.531,0.071,0,8.251,0.025,0
K2-140,b,K2-140 b,Transit,0,1,6.56918000,0.00004000,-0.00004000,0,0.068700,0.000500,-0.000500,0,,,,0,,,,0,,,,0,0,0,1,0,12h32m32.96s,188.137344,-09d36m27.5s,-9.607640,341.60,5.50,-5.10,0,351.21,8.19,-8.19,0,12.624,0.030,0,V (Johnson),12.481,,0,5705.00,50.00,-48.00,0,1.00,0.02,-0.02,0,0.99,0.01,-0.01,0,2018-07-12,1,957,11,-11,0,,,,0,,,,0,12.250,0.170,-0.170,0,K2,12.624,0.030,0,11.421,0.026,0,11.068,0.021,0,10.995,0.021,0
K2-80,b,K2-80 b,Transit,0,3,19.09180000,0.00640000,-0.00640000,0,0.135000,0.004000,-0.004000,0,,,,,,,,,,,,,0,0,1,0,03h56m09.00s,59.037487,+13d33m33.4s,13.559289,201.96,1.76,-1.76,0,201.96,1.76,-1.76,0,12.626,0.090,0,V (Johnson),12.377,,0,5441.00,249.00,-249.00,0,0.90,0.08,-0.08,0,0.87,0.10,-0.10,0,2016-07-18,1,,,,,32.5000,9.8000,-9.8000,0,,,,,2.010,0.300,-0.300,0,K2,12.626,0.090,0,10.874,0.021,0,10.425,0.022,0,10.313,0.017,0
K2-80,c,K2-80 c,Transit,0,3,5.60500000,0.00110000,-0.00110000,0,0.059600,0.001800,-0.001800,0,,,,,,,,,,,,,0,0,1,0,03h56m09.00s,59.037487,+13d33m33.4s,13.559289,201.96,1.76,-1.76,0,201.96,1.76,-1.76,0,12.626,0.090,0,V (Johnson),12.377,,0,5441.00,249.00,-249.00,0,0.90,0.08,-0.08,0,0.87,0.10,-0.10,0,2016-07-18,1,,,,,166.0000,50.0000,-50.0000,0,,,,,1.470,0.230,-0.230,0,K2,12.626,0.090,0,10.874,0.021,0,10.425,0.022,0,10.313,0.017,0
K2-80,d,K2-80 d,Transit,0,3,28.86725300,0.00514000,-0.00462500,0,,,,,,,,,89.397,0.429,-0.768,0,,,,,0,0,1,0,03h56m09.00s,59.037487,+13d33m33.4s,13.559289,201.96,1.76,-1.76,0,201.96,1.76,-1.76,0,12.626,0.090,0,V (Johnson),12.377,,0,5441.00,249.00,-249.00,0,0.90,0.08,-0.08,0,0.87,0.10,-0.10,0,2018-02-15,1,,,,,,,,,,,,,2.552,0.276,-0.140,0,K2,12.626,0.090,0,10.874,0.021,0,10.425,0.022,0,10.313,0.017,0
K2-128,b,K2-128 b,Transit,0,1,5.67581900,0.00041100,-0.00041400,0,0.056000,0.002000,-0.002000,0,0.230000,0.220222,-0.193710,0,87.400,1.080,-0.660,0,,,,0,0,0,1,0,13h37m45.04s,204.437653,-08d35m49.4s,-8.597065,115.01,0.92,-0.92,0,115.01,0.92,-0.92,0,12.627,0.030,0,V (Johnson),12.220,,0,4469.51,171.97,-145.15,0,0.71,0.07,-0.07,0,0.78,0.08,-0.06,0,2017-10-05,1,,,,0,68.8000,11.1000,-9.7000,0,,,,0,1.420,0.160,-0.130,0,K2,12.627,0.030,0,10.491,0.024,0,9.965,0.026,0,9.815,0.021,0
HATS-5,b,HATS-5 b,Transit,0,1,4.76338700,0.00001000,-0.00001000,0,0.054200,0.000600,-0.000600,0,0.019000,0.019000,-0.019000,0,89.300,0.300,-0.300,0,0.39000,0.04000,-0.04000,0,0,0,0,0,04h28m53.49s,67.222871,-21d28m54.9s,-21.481916,257.00,8.00,-8.00,0,248.14,1.74,-1.74,0,12.630,0.030,0,V (Johnson),12.429,,0,5304.00,50.00,-50.00,0,0.94,0.03,-0.03,0,0.87,0.02,-0.02,0,2014-05-14,1,1025,17,-17,0,,,,,75.32300,3.81400,-3.91400,0,10.223,0.280,-0.280,0,HATSouth,12.630,0.030,0,11.199,0.019,0,10.772,0.021,0,10.703,0.021,0
K2-161,b,K2-161 b,Transit,0,1,9.28318800,0.00205200,-0.00230000,0,,,,,,,,,87.251,1.991,-5.633,0,,,,,0,0,1,0,12h15m10.52s,183.793839,-03d29m44.2s,-3.495612,941.09,47.72,-47.72,0,941.09,47.72,-47.72,0,12.631,0.020,0,V (Johnson),12.357,,0,4972.00,50.00,-50.00,0,0.99,0.08,-0.06,0,2.57,0.31,-0.25,0,2018-02-15,1,,,,,,,,,,,,,6.117,1.633,-0.783,0,K2,12.631,0.020,0,10.852,0.026,0,10.352,0.024,0,10.261,0.024,0
